Index,Sentence,New_Tokens,True_Label,Predicted_Label,True_Targets,Predicted_Targets
0,me getting books from the library about queer cowboys and homoeroticism in cinema instead of anything useful for my thesis,"### Class:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target",1,-1,['None'],['none']
1,y si fuera top <number> me faltarían how to get away with murder gossip girl the last ship orphan black downton abbey,"### Target Communities:
 normal 

### Target",1,-1,['None'],['none']
2,<user> <user> <user> i am a lesbian not queer and quite frankly his disco tits video was repulsive if he thinks being an overweight gay bloke brings out the woman in him then i am offended it pathetic attention seeking,"### Target communities:
 normal 

### Target Communities",1,-1,['None'],['none']
3,<user> by tweeting about a civil war trump is sending a message to all his gun toting proud boy nazi white supremacist right wing nutjobs to crawl out of the shadows rebel desperate trump will do dangerous things,"### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Commun normal 

### Target Commun normal 

### Target normal 

### Target Commun normal 

### Target Communities normal 

### Target Commun normal 

### Target Communities normal 

### Target Commun normal 

### Target Commun normal 

### Target normal 

### Target Commun normal 

### Target Commun normal 

### Target",1,-1,['None'],['none']
4,<user> <user> you all only caring about their hair if these kids were white it would be different latinos love playing both sides they your homeboy until u say mi amigo or deportation then u a porch monkey i could never,"### Target Communities:
 normal 

### Target Commun",1,-1,['None'],['none']
5,<user> number of people being born under the poverty line all time high too but i guess let push for some retarded pseudo feminism,"### Target Communities:
 normal 

###",1,-1,['Women'],['none']
6,you bitches are retarded learn your self worth stop trying to come for the female and correct your wack ass man,"### Target communities:
 normal 

###",1,-1,['None'],['none']
7,<user> argentina still has a big nazi following in some parts the ideology is alive and well there to this day,"### Target Communities:
 normal 

###",1,-1,['None'],['none']
8,queer eye but it straight people making over gays and it conversion therapy,"### Target communities:
 normal 

###",1,-1,['None'],['none']
9,<user> <user> <user> i love you,"### Target Communities:
 normal 

###",1,-1,['None'],['none']
10,<user> just as long they are not gay muslim an undocumented immigrant transgender right,"### Target Communities communities:
 normal 

### Target communities:
 None 

###",1,-1,['None'],['none']
11,<percent> of white woman voted for trump,"### Target communities:
 normal 

###",1,-1,['None'],['none']
12,friendly reminder that sleeping in the same room as someone is not an invitation to be raped,"### Target communities:
 normal 

###",1,-1,['None'],['none']
13,these niggas ruined the <number> toyota supra image super bowl,"### Target Communities:
 normal 

###",1,-1,['None'],['none']
14,there are <number> million black kids in the us living in poverty and democrats still choose illegal immigrants first,"### Target communities:
 normal 

###",1,-1,"['African', 'Refugee']",['none']
15,leftists are bad at marxmanship anders breivik required <number> shots to kill <number> bernie bro at gop ball field fired <number> rounds <number> kills copenhagen moslem attack had <number> rounds fired with only one dead that was not the cartoonist target,"### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target",1,-1,['None'],['none']
