Index,Sentence,New_Tokens,True_Label,Predicted_Label,True_Targets,Predicted_Targets,True_Words,Predicted_Words
0,me getting books from the library about queer cowboys and homoeroticism in cinema instead of anything useful for my thesis,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
1,y si fuera top <number> me faltarían how to get away with murder gossip girl the last ship orphan black downton abbey,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
2,<user> <user> <user> i am a lesbian not queer and quite frankly his disco tits video was repulsive if he thinks being an overweight gay bloke brings out the woman in him then i am offended it pathetic attention seeking,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
3,<user> by tweeting about a civil war trump is sending a message to all his gun toting proud boy nazi white supremacist right wing nutjobs to crawl out of the shadows rebel desperate trump will do dangerous things,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
4,<user> <user> you all only caring about their hair if these kids were white it would be different latinos love playing both sides they your homeboy until u say mi amigo or deportation then u a porch monkey i could never,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
5,<user> number of people being born under the poverty line all time high too but i guess let push for some retarded pseudo feminism,"### Classification:
 offensive 

### Target Communities:
 Women 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women through words 'retarded pseudo feminism'.",1,2,['Women'],['Women'],[],['retarded pseudo feminism']
6,you bitches are retarded learn your self worth stop trying to come for the female and correct your wack ass man,"### Classification:
 offensive 

### Target Communities:
 Women 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women through words 'bitches are retarded'.",1,2,['None'],['Women'],[],['bitches are retarded']
7,<user> argentina still has a big nazi following in some parts the ideology is alive and well there to this day,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
8,queer eye but it straight people making over gays and it conversion therapy,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
9,<user> <user> <user> i love you,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
10,<user> just as long they are not gay muslim an undocumented immigrant transgender right,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
